index,AC,Cha,Con,Dex,HP,Int,Str,Type,Wis,alignment,chall,condImmunity,damImmunity,damVuln,languages,name,damResist,senses,size,speed
706,11.0,5 (-3),19 (+4),6 (-2),136.0,2 (-4),25 (+7),undead,8 (-1),neutral evil,8.0,poisoned,poison,,—,Tyrannosaurus Rex Zombie,,"darkvision 60 ft., ",Huge,40 ft.
707,20.0,20 (+5),26 (+8),14 (+2),444.0,20 (+5),30 (+10),giant,20 (+5),chaotic alignment,25.0,"charmed, exhaustion, frightened","bludgeoning, piercing, and slashing from from nonmagical attacks",,"Common, Giant, Primordial",Tungsten Titan,"cold, fire, force, thunder",,Gargantuan,"50 ft., climb 50 ft."
708,18.0,18 (+4),20 (+5),14 (+2),230.0,16 (+3),29 (+9),giant,18 (+4),chaotic alignment,13.0,"charmed, exhaustion, frightened","bludgeoning, piercing, slashing from nonmagical attacks",,"Common, Giant",Tungsten Giant,"cold, fire, force, thunder",,Huge,"50 ft., climb 50 ft."
709,30.0,30 (+10),16 (+3),18 (+4),22.0,8 (-1),3 (-4),construct,12 (+1),neutral good,1.0,,,,—,Tubbioca,,,Tiny,25 ft.
710,13.0,12 (+1),14 (+2),16 (+3),30.0,5 (-4),16 (+3),beast,16 (+3),"(hadrosaur), unaligned",1.0,,,,—,Tsintaosaurus,,,Large,50 ft.
713,16.0,18 (+4),22 (+6),8 (-1),300.0,11 (+0),20 (+5),giant,9 (-1),neutral evil,14.0,"frightened, paralyzed, poisoned",poison,,"Trow, Common, Abyssal",Trow Priest of Nyx,"fire, lightning; bludgeoning, piercing and slashing from nonmagical weapons",,Huge,35 ft.
714,20.0,10 (+0),22 (+6),7 (-2),325.0,11 (+0),20 (+5),giant,9 (-1),neutral evil,20.0,"paralyzed, poisoned","poison; bludgeoning, piercing and slashing from nonmagical weapons",,"Trow, Common",Trow Iron Warrior,"fire, lightning",,Huge,30 ft.
715,16.0,10 (+0),22 (+6),8 (-1),275.0,11 (+0),20 (+5),giant,9 (-1),"(trow), neutral",13.0,"paralyzed, poisoned",poison,,"Trow, Common",Trow,"fire, lightning; bludgeoning, piercing and slashing from nonmagical weapons",,Huge,40 ft.
716,14.0,8 (-1),12 (+1),14 (+2),52.0,4 (-3),14 (+2),beast,6 (-2),"beast, unaligned",1.0,,,,—,Troquantary,,,Huge,"5 ft., swim 30 ft."
717,16.0,10 (+0),19 (+4),12 (+1),45.0,6 (-2),18 (+4),humanoid,9 (-1),chaotic evil,2.0,,,Radiant,Can understand common and undercommon but cannot speak,Trolloc,"Bludgeoning, slashing, piercing","Darkvision 60 ft., ",Medium,35 ft.
718,16.0,7 (-2),14 (+2),14 (+2),32.0,6 (-2),15 (+2),humanoid,14 (+2),chaotic evil,1.0,,,,Goblin,Troll,"bludgeoning, piercing, and slashing damage from nonmagical attacks that aren't silvered","darkvision 60 ft., ",Medium,30 ft.
719,12.0,12 (+1),10 (+0),15 (+2),5.0,11 (+0),3 (-4),beast,12 (+1),chaotic neutral,0.0,poisoned,poison,,understands Common but can't speak,Tressym,,"darkvision 60 ft., ",Tiny,"40 ft., climb 30 ft., fly 40 ft."
720,15.0,12 (+1),20 (+5),13 (+1),126.0,8 (-1),18 (+4),giant,10 (+0),chaotic evil,6.0,,,,Giant,Troll Mystic,,"darkvision 60 ft., ",Large,30 ft.
721,13.0,10 (+0),18 (+4),13 (+1),126.0,2 (-4),19 (+4),monstrosity,14 (+2),"monstrosity, unaligned",7.0,blinded,,,—,Troglodon,,"blindsight 90 ft. (blind beyond this radius), ",Huge,50 ft.
722,15.0,4 (-3),15 (+2),10 (+0),52.0,7 (-2),18 (+4),swarm,7 (-2),chaotic evil,5.0,"exhaustion, paralyzed, stunned","acid, fire, lightning",,Abyssal,Trionyx,"bludgeoning, piercing, slashing",,Medium,"30 ft., swim 30 ft."
723,16.0,8 (-1),24 (+7),12 (+1),148.0,3 (-4),22 (+6),elemental,9 (-1),"elemental, unaligned",6.0,,,,—,Tring,,"darkvision 120 ft., ",Huge,40 ft.
724,23.0,9 (-1),28 (+9),11 (+0),292.0,6 (-2),23 (+6),dragon,12 (+1),neutral evil,17.0,,,,Lizal,Trinexx,"cold, fire, lightning; bludgeoning, piercing, slashing","Senses. The trinexx has advantage on Wisdom (Perception) checks that rely on sight, hearing, or smell.",Gargantuan,"40 ft., swim 40 ft."
725,13.0,5 (-3),17 (+3),9 (-1),95.0,2 (-4),22 (+6),beast,11 (+0),"(ceratopsian), unaligned",5.0,,,,—,Triceratops,,,Huge,50 ft.
726,16.0,12 (+1),16 (+3),15 (+2),93.0,10 (+0),19 (+4),plant,14 (+2),chaotic good,4.0,frightened,,fire,"understands Druidic, Elvish and Sylvan but can't speak",Treekin,"bludgeoning, piercing",,Large,30 ft.
727,20.0,12 (+1),21 (+5),15 (+2),403.0,24 (+7),27 (+8),aberration,19 (+4),lawful evil,21.0,"charmed, exhaustion, frightened, poisoned, unconscious","poison, psychic",,"Sorrow-Spider; understands Common, Deep Speech, and Undercommon, but cannot speak them, telepathy 120 ft.",Tree of Ages,"bludgeoning, piercing, and slashing","blindsight 60 ft., darkvision 180 ft., ",Gargantuan,"5 ft., swim 60 ft."
728,16.0,1 (-5),25 (+7),12 (+1),225.0,1 (-5),22 (+6),swarm,8 (-1),"constructs, unaligned",14.0,"charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned","poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine",,understands the languages of its creator but can't speak,Treasure Golem,,"blindsight 60 ft. (blind beyond this radius), darkvision 60 ft., tremorsense 30 ft., ",Large,"30 ft., fly 30 ft. (hover)"
730,13.0,10 (+0),17 (+3),15 (+2),51.0,9 (-1),19 (+4),beast,12 (+1),"beast, unaligned",2.0,,,,understands Common and Draconic but can't speak them,Tragg,,"darkvision 60 ft., ",Large,"60 ft., swim 20 ft."
732,13.0,6 (-2),15 (+2),15 (+2),45.0,2 (-4),10 (+0),ooze,14 (+2),"ooze, unaligned",2.0,"blinded, charmed, deafened, exhaustion, frightened, poisoned, prone, unconscious","acid, poison, psychic",cold,—,Toxic Sludge,,"blindsight 30 ft., ",Medium,20 ft.
733,16.0,15 (+2),15 (+2),13 (+1),78.0,11 (+0),18 (+4),fiend,13 (+1),neutral evil,6.0,,,,Blin,Tough Taros,,,Medium,30 ft.
735,13.0,9 (-1),18 (+4),10 (+0),136.0,2 (-4),25 (+7),beast,14 (+2),"(theropod), unaligned",8.0,,,,—,Torvosaurus,,,Huge,50 ft.
736,17.0,6 (-2),18 (+4),10 (+0),115.0,4 (-3),26 (+8),beast,12 (+1),neutral good,6.0,Blinded,,,—,Torosaurus,,,Huge,45 ft.
738,12.0,13 (+1),15 (+2),15 (+2),39.0,13 (+1),3 (-4),undead,13 (+1),chaotic evil,2.0,"charmed, exhaustion, grappled, paralysed, petrified, poisoned, prone, restrained, unconscious","necrotic, poison",,understands all languages it knew in life but can't speak,Tormented Soul,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","darkvision 60 ft., ",Medium,"0 ft., fly 60 ft. (hover)"
739,16.0,10 (+0),20 (+5),9 (-1),105.0,6 (-2),20 (+5),plant,14 (+2),lawful neutral,6.0,"charmed, poisoned",,"cold, fire",understands Common but can't speak it,Topiary Sentinel,"poison; bludgeoning, piercing, and slashing damage from nonmagical attacks",tremorsense 60 ft.; ,Large,30 ft.
740,16.0,14 (+2),20 (+5),15 (+2),119.0,8 (-1),17 (+3),aberration,10 (+0),chaotic evil,10.0,"charmed, paralyzed, petrified",,,Deep Speech,Tonberry,"cold, necrotic, psychic; bludgeoning, piercing, and slashing damage from nonmagical attacks",darkvision 60 ft.; ,Small,"25 ft., swim 20 ft."
741,20.0,1 (-5),22 (+6),19 (+4),212.0,6 (-2),25 (+7),construct,14 (+2),lawful neutral,15.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned","lightning, poison, psychic",,understands Nehekharan but cannot speak,Tomb Scorpion,"bludgeoning, piercing and slashing damage from nonmagical attacks","darkvision 120 ft., ",Huge,"50 ft., burrow 50 ft."
742,18.0,9 (-1),20 (+5),15 (+2),212.0,5 (-3),22 (+6),construct,14 (+2),"construct, neutral",13.0,"charmed, exhaustion, frightened, petrified, poisoned","poison, psychic",,understands the languages of its creator but can't speak,Tomb Scorpion,"lightning; bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 120 ft., tremorsense 120 ft., ",Huge,"40 ft., burrow 40 ft."
743,10.0,4 (-3),9 (-1),11 (+0),3.0,1 (-5),8 (-1),monstrosity,6 (-2),"monstrosity, unaligned",0.0,,,,—,Toado,,"darkvision 60 ft., ",Tiny,"10 ft., swim 30 ft."
744,15.0,17 (+3),28 (+9),7 (-2),312.0,20 (+5),24 (+7),monstrosity,17 (+3),neutral evil,15.0,poisoned,poison,lightning,"Aquan, Common, Undercommon, telepathy 120 ft.",Toad Prince,"necrotic, psychic","darkvision 120 ft., tremorsense 40 ft., ",Gargantuan,"20 ft., burrow 20 ft., swim 40 ft."
745,10.0,14 (+2),15 (+2),10 (+0),91.0,16 (+3),14 (+2),fey,12 (+1),chaotic neutral,6.0,,,,Common (can't speak in toad form),Toad Mother,"piercing, and slashing from nonmagical attacks that aren't silvered",,Medium,"30 ft., swim 10 ft. (30 ft., swim 40 ft. in toad form)"
746,19.0,7 (-2),23 (+6),9 (-1),150.0,6 (-2),25 (+7),dragon,13 (+1),"dragon, unaligned",16.0,poisoned,"acid, poison",,understands Draconic but can't speak,Toad Dragon,,"darkvision 60 ft., tremorsense 30 ft., ",Huge,"30 ft., swim 40 ft."
747,27.0,18 (+4),30 (+10),5 (-3),676.0,8 (-1),29 (+9),beast,22 (+6),"(sauropod), unaligned",28.0,"charmed, exhausted, frightened, grappled, paralyzed, stunned","radiant, necrotic, posion, psychic",,—,Titanosaurus,"bludgeoning, piercing, slashing, fire",,Gargantuan,15 ft.
748,22.0,1 (-5),22 (+6),10 (+0),310.0,3 (-4),27 (+8),construct,11 (+0),"construct, neutral",17.0,"charmed, exhaustion, frightened, paralysed, petrified, poisoned","poison, psychic",,understands the languages of its creator but can't speak,Titanium Golem,,"darkvision 120 ft., ",Large,30 ft.
749,20.0,10 (+0),24 (+7),22 (+6),245.0,10 (+0),28 (+9),aberration,10 (+0),chaotic neutral,14.0,,,,Understands all the languages that the Titanshifter does but can't speak in Titan form,The Titan,,,Gargantuan,80 ft.
750,18.0,1 (-5),22 (+6),8 (-1),330.0,4 (-3),24 (+7),construct,10 (+0),"construct, unaligned",18.0,"Poisoned, Exhausted, Charmed, Frightened","Poison, Psychic",,"Understands Common and languages of his creator, but cannot speak",Titan Warbot,"Lightning, Fire","darkvision 180 ft., ",Gargantuan,40 ft
751,45.0,30 (+10),30 (+10),14 (+2),33275.0,23 (+6),30 (+10),titan/celestial,24 (+7),chaotic evil,165.0,"charmed, frightened, grappled, paralyzed, petrified, poisoned, prone, stunned","Psychic, Poison",,"celestial, abyssal, telepathy 1000000000000 km",Titan Of Snakes,All nonmagical damage,,Titanic,"250 ft., burrow 250 ft."
752,16.0,10 (+0),30 (+10),10 (+0),615.0,10 (+0),30 (+10),giant,10 (+0),"giant, neutral",30.0,"charmed, exhaustion, poisoned, stunned",poison,,"Common, Giant",Titan,"bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 120 ft., ",Gargantuan,60 ft.
753,18.0,20 (+5),10 (+0),1 (-5),210.0,20 (+5),20 (+5),elemental,17 (+3),"elemental, unaligned",18.0,"charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone, stunned","fire, poison, psychic; bludgeoning, piercing, and slashing from nonmagical weapons","cold, poison",—,Tide Ruler,"bludgeoning, piercing, and slashing from magical weapons","truesight 120 ft., ",Gargantuan,"60 ft., swim 60 ft."
754,13.0,6 (-2),15 (+2),9 (-1),120.0,5 (-3),18 (+4),plant,14 (+2),"plant, unaligned",6.0,poisoned,poison,,—,Ticktox,"bludgeoning, piercing, slashing",,Large,"10 ft., climb 10 ft."
756,23.0,24 (+7),30 (+10),10 (+0),615.0,18 (+4),30 (+10),dragon,16 (+3),lawful alignment,26.0,,"fire, lightning, radiant",,"Common, Draconic",Tian'Lung,"poison, thunder","blindsight 60 ft., darkvision 120 ft., ",Gargantuan,"40 ft., climb 40 ft., fly 80 ft."
757,15.0,14 (+2),16 (+3),18 (+4),90.0,10 (+0),15 (+2),monstrosity,13 (+1),chaotic evil,5.0,frightened,,,"Auran, Common",Thunder Child,"lightning, thunder; bludgeoning, piercing and slashing from nonmagical attacks","darkvision 120 ft., ",Medium,"30 ft., fly 60 ft."
758,33.0,46 (+18),50 (+20),20 (+5),5840.0,42 (+16),50 (+20),dragon,38 (+14),lawful evil,50.0,all.,"fire, cold, acid, lightning, radiant, Thunder, poison: bludgeoning, piercing, and slashing that is +3 magical or less.",,"all, Telepathy 1,200 ft.",Tiamat (God Form),"force, psychic, necrotic, bludgeoning, piercing, and slashing from a +5 or lesser magical weapons.","darkvision 600 ft., blindsight 480 ft., truesight 480 ft., ",Titanic,"120ft., burrow 120 ft., climb 120 ft., fly 480 ft., swim 120 ft."
760,17.0,6 (-2),22 (+6),10 (+0),280.0,3 (-4),25 (+7),monstrosity,14 (+2),"monstrosity, unaligned",10.0,petrified,cold,,—,Thundertusk,,,Huge,40 ft.
761,15.0,12 (+1),25 (+7),14 (+2),315.0,13 (+1),28 (+9),monstrosity,16 (+3),"monstrosity, neutral",14.0,"exhaustion, frightened","lightning, thunder",,"understands Auran, Common, Druidic, Giant, and Primordial but can’t speak",Thunderbird,cold,"blindsight 60 ft., darkvision 120 ft., ",Gargantuan,"20 ft., fly 120 ft."
762,14.0,6 (-2),15 (+2),19 (+4),90.0,6 (-2),14 (+2),elemental,10 (+0),"elemental, neutral",6.0,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","lightning, poison",,Auran,Thunder Elemental,"thunder; bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 60 ft., ",Large,"0 ft., fly 90 ft. (hover)"
763,15.0,6 (-2),17 (+3),14 (+2),52.0,9 (-1),16 (+3),construct,9 (-1),"construct, unaligned",2.0,"charmed, exhaustion, frightened, paralysed, petrified, poisoned, prone","cold, poison, psychic",,understands the languages of its creator but can't speak,Throne of Blades,,"darkvision 60 ft., ",Medium,"0 ft., fly 20 ft. (hover)"
764,14.0,16 (+3),16 (+3),18 (+4),97.0,18 (+4),14 (+2),humanoid,18 (+4),lawful neutral,5.0,poisoned,"thunder, poison",,"Common, Sylvan, Thriae",Thriae Seer,acid,"darkvision 60 ft., ",Medium,"30 ft., fly 60 ft."
765,17.0,9 (-1),21 (+5),9 (-1),276.0,7 (-2),24 (+7),dragon,12 (+1),lawful evil,17.0,,fire,,Lizal,Three-Headed Gleeok,"bludgeoning, piercing, slashing","darkvision 120 ft., ",Huge,"40 ft., fly 20 ft."
766,16.0,14 (+2),17 (+3),16 (+3),45.0,12 (+1),17 (+3),humanoid,13 (+1),lawful neutral,2.0,poisoned,"thunder, poison",,"Common, Thriae",Thriae Soldier,,"darkvision 60 ft., ",Medium,"30 ft., fly 60 ft."
767,20.0,24 (+7),26 (+8),11 (+0),290.0,20 (+5),24 (+7),monstrosity,22 (+6),lawful neutral,20.0,poisoned,"thunder, poison",,"Common, Sylvan, Thriae, telepathy 240 ft.",Thriae Queen,acid,"darkvision 60 ft., truesight 120 ft., ",Huge,"30 ft., fly 50 ft."
768,12.0,6 (-2),15 (+2),14 (+2),52.0,4 (-3),18 (+4),monstrosity,13 (+1),"monstrosity, unaligned",3.0,,,,—,Thracian Horse,,,Large,60 ft.
769,19.0,6 (-2),19 (+4),9 (-1),127.0,7 (-2),18 (+4),monstrosity,13 (+1),lawful evil,9.0,,piercing,,understands Common but cannot speak,Thousand-Pierced One,bludgeoning and slashing from nonmagical weapons,"blindsight 30 ft. or 10 ft. while deafened (blind beyond this radius), ",Medium,25 ft.
770,14.0,7 (-2),14 (+2),13 (+1),39.0,8 (-1),15 (+2),humanoid,10 (+0),neutral evil,1.0,,,,"Common, Goblin",Thoul,poison,"darkvision 60 ft., ",Medium,30 ft.
771,12.0,16 (+3),15 (+2),14 (+2),52.0,15 (+2),14 (+2),plant,17 (+3),chaotic alignment,2.0,"blinded, deafened",,fire,"Common, Druidic, Elvish, Sylvan",Thornling,cold,"blindsight 60 ft. (blind beyond this radius), ",Medium,"30 ft., climb 20 ft."
773,14.0,18 (+4),16 (+3),10 (+0),115.0,6 (-2),10 (+0),monstrosity,8 (-1),"monstrosity, unaligned",9.0,,,,—,Theron Enslavers,psychic,"blindsight 60 ft., ",Large,"10 ft, 20 ft fly (hover)"
774,18.0,12 (+1),17 (+3),10 (+0),152.0,8 (-1),23 (+6),dragon,13 (+1),lawful evil,9.0,,,,Lizal,Thermogleeok,"cold, fire; bludgeoning, piercing, slashing","darkvision 120 ft., ",Huge,"40 ft., swim 60 ft."
775,19.0,5 (-3),25 (+7),10 (+0),243.0,7 (-2),25 (+7),monstrosity,10 (+0),"(thessalmonster), neutral",18.0,"petrified, poisoned","acid, poison",,—,Thessalhydra,,"darkvision 60 ft., ",Huge,40 ft.
776,13.0,7 (-2),19 (+4),6 (-2),94.0,2 (-4),25 (+7),beast,10 (+0),"(theropod), unaligned",5.0,,,,—,Therizinosaurus,,,Huge,40 ft.
777,,20 (+5),20 (+5),16 (+3),210.0,14 (+2),10 (+0),undead,16 (+3),chaotic evil,24.0,"blinded, charmed, deafened, exhaustion, frightened, invisible, paralyzed, petrified, poisoned, prone, stunned","fire, necrotic, poison, cold",radiant,"Common, Infernal",The Wither,,"darkvision 120 ft., truesight 30 ft., ",Large,"0 ft., fly 50 ft. (hover)"
778,14.0,14 (+2),12 (+1),14 (+2),27.0,18 (+4),8 (-1),fiend,15 (+2),lawful evil,3.0,"poisoned, restrained, grappled","acid, poison",radiant,"Abyssal, Common, Infernal",The Watcher,"fire, cold; bludgeoning, piercing and slashing from nonmagical weapons.","darkvision 120 ft., ",Small,"0 ft., fly 40 ft."
779,,14 (+2),26 (+8),8 (-1),116.0,21 (+5),17 (+3),monstrosity,20 (+5),neutral evil,7.0,"grappled, paralyzed, prone, restrained, stunned, unconcious",,,"common, dwarvish, giant, orc, worg",The Tactician of Sloth,"fire, cold",,Huge,5 ft
780,15.0,18 (+4),16 (+3),14 (+2),240.0,4 (-3),10 (+0),aberration,12 (+1),chaotic evil,15.0,"Stunned, Surprised, Unconscious, Paralyzed, Poisoned, Frightened, Incapacitated, Restrained(nonmagical)","Psychic, Poison, Necrotic, Bludgeoning Slashing and Piercing from non magical attacks",Force,"Can understand common and any language it spoke in it’s previous life or undeath but cannot itself speak more than three words, and in a way that is difficult to make sense of with speech cutting out and grammatical order seemingly randomized.",The Static,"Acid, Radiant","Blindsense (60ft), ",Medium,"20ft (flying), 60ft (teleportation)"
781,17.0,15 (+2),18 (+4),18 (+4),162.0,15 (+2),22 (+6),construct,18 (+4),lawful evil,9.0,"charmed, exhaustion, frightened, petrified","necrotic, poison; bludgeoning, piercing and slashing from nonmagical attacks that aren't adamantine",,"Common, Orokin, and any three others",The Stalker,,"blindsight 30 ft., ",Medium,40 ft.
782,15.0,12 (+1),11 (+0),13 (+1),45.0,20 (+5),7 (-2),aberration,18 (+4),neutral evil,4.0,,necrotic,,"Celestial, Common, telepathy 30 ft.",The Silence,"lightning; bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 60 ft., ",Medium,30 ft.
784,22.0,1 (-5),26 (+8),9 (-1),555.0,4 (-3),26 (+8),construct,12 (+1),"construct, unaligned",19.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned","acid, fire, necrotic, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine",thunder,understands the languages of its creator but can't speak,The Rook,"lightning, radiant","darkvision 120 ft., ",Gargantuan,30 ft.
785,22.0,14 (+2),16 (+3),30 (+10),396.0,13 (+1),15 (+2),fiend,18 (+4),chaotic evil,20.0,"charmed, frightened","bludgeoning, piercing, and slashing from nonmagical attacks",,"understands Abyssal, Common, and Infernal but can't speak",The Rabbit,,"truesight 120 ft., ",Tiny,"60 ft., burrow 30 ft."
787,19.0,20 (+5),20 (+5),20 (+5),190.0,15 (+2),15 (+2),aberration,18 (+4),chaotic evil,20.0,"charmed, exhaustion, frightened, paralyzed, poisoned, prone","cold, fire, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks",,all,The Nightmare,,,Medium,"30 ft., fly 30 ft. (hover)"
788,24.0,28 (+9),30 (+10),28 (+9),290.0,26 (+8),24 (+7),humanoid,26 (+8),lawful good,30.0,"charmed, frightened, paralyzed, prone, grappled, restrained","radiant, necrotic",,—,The Mana,"force, psychic","truesight 250ft., ",Medium,"60 ft., fly 60 ft., swim 60 ft."
789,16.0,15 (+2),11 (+0),16 (+3),120.0,10 (+0),10 (+0),humanoid,12 (+1),chaotic neutral,7.0,"Sleep, Blindness",Psychic,None,"common, various (dependent on race)",The Lost Children,None,,Small/Medium,30 ft.
790,15.0,8 (-1),20 (+5),16 (+3),248.0,15 (+2),24 (+7),giant,19 (+4),chaotic evil,16.0,,,,Giant,The Last Giant of Drangleic,"bludgeoning, piercing, and slashing from nonmagical attacks",,Gargantuan,50 ft.
791,13.0,8 (-1),18 (+4),9 (-1),95.0,9 (-1),18 (+4),undead,11 (0),chaotic evil,7.0,poisoned,poison,,understands the languages of its creator but can't speak.,The Jailer,,"darkvision 60 ft., ",Large,25 ft.
792,,30 (+10),N/A (N/A),N/A (N/A),125.0,30 (+10),N/A (N/A),size,30 (+10),"aberration, neutral",28.0,all or per object (See Immaterial Form),All damage except for magical necrotic damage from 7th+ level spells or per object (See Immaterial Form); psychic,none or per object (See Immaterial Form),All languages but cant speak; telepathy endless range within the borders of the plane of existence it is on,The Intellect,none or per object (See Immaterial Form),,Variable,"60 ft., or per object (See Immaterial Form)"
794,13.0,7 (-2),22 (+6),10 (+0),138.0,2 (-4),20 (+5),beast,13 (+1),chaotic evil,5.0,"charmed, exhaustion, poisoned",poison,,—,The Gulo,,"darkvision 60 ft., ",Large,"40 ft., climb 30 ft."
795,19.0,19 (+4),25 (+7),15 (+2),507.0,25 (+7),25 (+7),aberration,29 (+9),chaotic evil,30.0,"charmed, exhaustion, frightened, paralyzed, petrified, prone, restrained, unconscious",,,—,The Heart of Darkness,,,Gargantuan,0 ft.
796,26.0,20 (+5),30 (+10),14 (+2),2400.0,14 (+2),30 (+10),ooze,20 (+5),neutral good,28.0,"poisoned, blinded, charmed, deafened, exhaustion, frightened, prone","poison, acid, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,"Common, Infernal, Abyssal, Deep Speech, Primordial, and Dwarvish;",The Grand Ooze of Urnas: Titan,"cold, thunder, and force",,Gargantuan,"120 ft., climb 60 ft., swim 60 ft."
797,22.0,18 (+4),26 (+8),22 (+6),400.0,16 (+3),30 (+10),ooze,18 (+4),neutral good,25.0,"poisoned, blinded, charmed, deafened, exhaustion, frightened, prone","poison, acid; bludgeoning, piercing, and slashing from nonmagical attacks",,"Common, Infernal, Abyssal, Deep Speech, Primordial, and Dwarvish;",The Grand Ooze of Urnas: Exhalted,"acid, cold, fire, lightning",,Tiny,"80 ft., climb 60 ft."
798,17.0,16 (+3),20 (+5),18 (+4),110.0,13 (+1),22 (+6),ooze,14 (+2),neutral good,12.0,"poisoned, blinded, charmed, deafened, exhaustion, frightened, prone","poison, acid",,"It understands the following languages but cannot speak: Common, Infernal, Abyssal, Deep Speech, Primordial, and Dwarvish;",The Grand Ooze of Urnas: Dormant,"acid, cold, fire, lightning ; bludgeoning, piercing, and slashing from nonmagical attacks",,Tiny,"40 ft., climb 20 ft."
799,20.0,16 (+3),26 (+8),20 (+5),280.0,15 (+2),26 (+8),ooze,16 (+3),neutral good,18.0,"poisoned, blinded, charmed, deafened, exhaustion, frightened, prone","poison, acid; bludgeoning, piercing, and slashing from nonmagical attacks",,"Common, Infernal, Abyssal, Deep Speech, Primordial, and Dwarvish;",The Grand Ooze of Urnas: Awakened,"acid, cold, fire, lightning",,Tiny,"60 ft., climb 40 ft."
800,16.0,10 (+0),16 (+3),14 (+2),119.0,14 (+2),18 (+4),undead,18 (+4),chaotic evil,10.0,,,radiant,"Abyssal, Common",The Four Kings,"bludgeoning, piercing and slashing from nonmagical attacks","Darkvision 60 ft., ",Large,"0 ft., fly 40 ft. (hover)"
801,17.0,24 (+7),14 (+2),18 (+4),260.0,19 (+4),16 (+3),fiend,15 (+2),neutral evil,17.0,,,,"Abyssal, Common, Infernal, telepathy 60 ft.",The Fifth Kiss,"cold, fire, lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks",,Medium,"30 ft., fly 60 ft."
802,,16 (+3),24 (+7),16 (+3),250.0,16 (+3),24 (+7),fiend,16 (+3),neutral evil,16.0,poisoned,"fire, necrotic, poison",,"Abyssal, Common, Infernal",The Ebony Knight,"lightning; bludgeoning, piercing and slashing from nonmagical attacks","darkvision 120 ft., ",Large,30 ft.
803,30.0,26 (+8),14 (+2),22 (+6),1.0,30 (+10),13 (+1),humanoid,25 (+7),chaotic neutral,25.0,"Charmed, Frightened, Paralyzed, Petrified, Cannot be Pulled from his Realm",,,"All, speaks only in Common, but all creatures can understand him and he can understand them",The Dealer,,,Medium,60 ft.
804,23.0,16 (+4),24 (+7),30 (+10),202.0,19 (+4),27 (+8),aberration,15 (+3),chaotic evil,13.0,poisoned,poison,"bludgeoning, lightning, radiant",—,The Dancer of the Boreal Valley,"piercing, slashing from nonmagical attacks","darkvision 120 ft., ",Huge,40 ft.
805,18.0,22 (+6),20 (+5),18 (+4),247.0,25 (+7),22 (+6),aberration,16 (+3),chaotic evil,20.0,"blinded, charmed, deafened, frightened, petrified, poisoned","poison; bludgeoning, piercing and slashing from nonmagical attacks",,"Common, Tongue of the Old Ones, telepathy 120 ft.",The Crimson Shogun,,"truesight 60 ft., ",Medium,40 ft.
806,15.0,15 (+2),18 (+4),20 (+5),17.0,18 (+4),18 (+4),aberration,12 (+1),chaotic evil,4.0,,,,Understands common,The Infiltrator,,,Medium,30
808,15.0,18 (+4),18 (+4),12 (+1),123.0,13 (+1),21 (+5),aberration,14 (+2),chaotic evil,8.0,frightened,fire,,"Common, Abyssal",Void's Bastard,,"darkvision 120 ft., ",Large,"30 ft., fly 30 ft."
809,25.0,30 (+10),25 (+7),20 (+5),600.0,30 (+10),20 (+5),aberration,30 (+10),chaotic neutral,30.0,"Frightened, Petrified, Charmed, Paralyzed","Necrotic, non-magical",Radiant,"— Telepathic 300 ft, common, abyssal, draconic",The Benefactor,,Blind sight 300ft. Truesight 30ft ,medium,60ft
810,13.0,12 (+1),13 (+1),7 (-2),45.0,14 (+2),14 (+2),monstrosity,16 (+3),neutral evil,3.0,"exhaustion, frightened",psychic,radiant,Common,The Apathy,"bludgeoning, piercing, and slashing while in dim light or darkness","darkvision 60 ft., ",Medium,20 ft.
811,23.0,30 (+10),24 (+7),14 (+2),402.0,30 (+10),18 (+4),aberration,30 (+10),"(titan), neutral",26.0,,,,"all, telepathy 500 ft.",The Allseer,,"truesight 500 ft., ",Gargantuan,"0 ft., fly 20 ft.(hover)"
812,14.0,4 (-3),14 (+2),13 (+1),44.0,8 (-1),10 (+0),plant,17 (+3),"(fectoid), unaligned",4.0,,,,Fectoid,Terrortoma,"radiant, psychic","darkvision 60 ft., ",Small,"20 ft., climb 20 ft."
813,15.0,7 (-2),20 (+5),10 (+0),172.0,7 (-2),25 (+7),undead,10 (+0),neutral evil,13.0,"frightened, poisoned","necrotic, poison",,understands Common but can't speak,Terrorgheist,"bludgeoning, piercing and slashing from nonmagical attacks","darkvision 60 ft., ",Huge,"25 ft., fly 80 ft."
